"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Crime Type_enhancement","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type_primary","Disposition Date_primary","Disposition_primary","Lesser Charge Plea","has_prior"
3497413,3519317,2,"186.22(b)(1)","PC","Enhancement",2024-06-06,"True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-09-16,"N","245(a)(1)","PC","Felony",2024-06-06,"Guilty",NA,0
3497413,3519318,1,"186.22(b)(1)","PC","Enhancement",2024-06-06,"True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-09-16,"N","664(a)-187(a)","PC","Felony",2024-06-06,"Guilty",NA,0
3497413,3519318,2,"186.22(b)(1)","PC","Enhancement",2024-06-06,"True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-09-16,"N","245(a)(1)","PC","Felony",2024-06-06,"Guilty",NA,0
3497413,3519319,1,"186.22(b)(1)","PC","Enhancement",2024-06-06,"True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-09-16,"N","664(a)-187(a)","PC","Felony",2024-06-06,"Dismissed/Not Guilty",NA,0
3497413,3519319,2,"186.22(b)(1)","PC","Enhancement",2024-06-06,"True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-09-16,"N","245(a)(1)","PC","Felony",2024-06-06,"Guilty",NA,0
3497415,3519321,1,"186.22(b)(1)","PC","Enhancement",2024-07-17,"Dismissed/Not True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-10-08,"N","664(a)-187(a)","PC","Felony",2024-07-17,"Dismissed/Not Guilty",NA,1
3497415,3519321,2,"186.22(b)(1)","PC","Enhancement",2024-07-17,"True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-10-08,"N","245(a)(1)","PC","Felony",2024-07-17,"Lesser","240 PC Misdemeanor",1
3498643,3520669,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-11-28,NA,"In Custody",NA,2023-07-12,"N","187(a)","PC","Felony",NA,NA,NA,0
3499141,3521231,1,"186.22(b)(1)","PC","Enhancement",2025-01-17,"Dismissed/Not True","Hispanic","Male",2023-11-30,25000,"In Custody",NA,2023-11-30,"N","11378","HS","Felony",2025-01-17,"Dismissed/Not Guilty",NA,1
3499141,3521231,2,"186.22(b)(1)","PC","Enhancement",2025-01-17,"Dismissed/Not True","Hispanic","Male",2023-11-30,25000,"In Custody",NA,2023-11-30,"N","11351","HS","Felony",2025-01-17,"Dismissed/Not Guilty",NA,1
3503052,3525517,1,"186.22(b)(1)","PC","Enhancement",2024-05-17,"Dismissed/Not True","Hispanic","Male",2023-12-17,NA,"In Custody",NA,2023-12-17,"N","29800(a)(1)","PC","Felony",2024-05-17,"Dismissed/Not Guilty",NA,1
3530342,3519322,1,"186.22(b)(1)","PC","Enhancement",2024-04-23,"Dismissed/Not True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-10-08,"N","664(a)-187(a)","PC","Felony",2024-04-23,"Dismissed/Not Guilty",NA,0
3549979,3517708,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-11-15,1e+05,"Appearance Date",NA,2023-11-05,"N","11378","HS","Felony",NA,NA,NA,0
3549979,3517708,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-11-15,1e+05,"Appearance Date",NA,2023-11-15,"N","11378","HS","Felony",NA,NA,NA,0
3549979,3517708,3,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-11-15,1e+05,"Appearance Date",NA,2023-11-15,"N","11351","HS","Felony",NA,NA,NA,0
3549979,3517708,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-11-15,1e+05,"Appearance Date",NA,2023-11-15,"N","11351","HS","Felony",NA,NA,NA,0
3612296,3497504,1,"186.22(b)(1)","PC","Enhancement",2023-09-25,"Dismissed/Not True","White","Male",2023-08-17,NA,"In Custody",NA,2023-08-17,"N","245(a)(2)","PC","Felony",2023-09-25,"Dismissed/Not Guilty",NA,1
3612296,3497504,2,"186.22(b)(1)","PC","Enhancement",2023-09-25,"Dismissed/Not True","White","Male",2023-08-17,NA,"In Custody",NA,2023-08-17,"N","182(a)(5)","PC","Felony",2023-09-25,"Dismissed/Not Guilty",NA,1
